product,title,rating,body
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","5.0 out of 5 stars
Good quality.You can go for it.",5.0,"Bottle material quality is good.I falled the lid of bottle twice,but there is no breaking, scratches.Comes with pretty colour combination.
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","4.0 out of 5 stars
Good product",4.0,"Good but the bottle’s cap got broken after it was dropped. So cap would have been of better quality
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","5.0 out of 5 stars
Speedex bottle",5.0,"Quality is good..It is stylish as well....5 star...
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","1.0 out of 5 stars
Check the condition of the bottle as soon as u buy",1.0,"This bottle was not used initially. But later on when my old bottle was discarded,i took this to use. But i found that there is a small hole at the bottom of the bottle and water was dripping from there.  i couldn't return it as the return time was over. So check the water bottle as soon as u buy it.
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","3.0 out of 5 stars
Looks Pretty but Not Lasting",3.0,"The bottle is looks very cool and easy to carry. But the colour starts coming out very fast. Not very noticeable but still. Otherwise it is good. The material as well as the lid are good and easy to handle.
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","5.0 out of 5 stars
Very good quality product",5.0,"We liked this product built and quality. It is nice and very easy to use.My daughter enjoys this bottle everytime she uses it.
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","2.0 out of 5 stars
Water bottle steel",2.0,"Very  bad👎  quality within month colour is gone  .
Read more"
"Speedex Stainless Steel 1000 ML Water Bottle/Thunder for fridge/School/Outdoor/Gym/Home/office/Boys/Girls/Kids, Leak Proof...","4.0 out of 5 stars
Sturdy and stylish",4.0,"Product looks good , bought it for my kid , who liked it a lot . Hope it’s durable too . Big enough for high school goers.
Read more"
"Zerfa® Washer Dryer Anti Vibration Pad with Suction Cup Feet, Fridge Washing Machine Support Feet Pads Leveling Feet Anti ...","5.0 out of 5 stars
Worth the money",5.0,"Product is good and fit perfectly. Initially i thought washing machine will shake even after installing these but it didn't. Definitely satisfied.
Read more"
"Zerfa® Washer Dryer Anti Vibration Pad with Suction Cup Feet, Fridge Washing Machine Support Feet Pads Leveling Feet Anti ...","4.0 out of 5 stars
Super product",4.0,"No
Read more"
